NumID,PlayerID,birthYear,birthMonth,birthDay,Nationality,nameLast,nameFirst,nameGiven,weight,height,bats,throws,debutYear,debutTeam,Name,Position,SigningBonus,Salary,DraftOrder,DebutYearTeam
3091,94745,1975,5,19,Korea,Park,Ji-Sang,Park Ji-Sang,0,0,L,L,,,박지상,Outfielder,,,,
3092,94747,1971,4,17,Korea,Kim,Seong-Han,Kim Seong-Han,0,0,R,R,,,김성한,Pitcher,,,,
3093,94749,1972,2,28,Korea,Shin,Jin-Su,Shin Jin-Su,0,0,R,R,,,신진수,Outfielder,,,,
3094,94801,1971,3,20,Korea,Lee,Seung-Hwan,Lee Seung-Hwan,0,0,R,R,,,이승환,Pitcher,,,,
3095,94812,1972,5,5,Korea,Kim,Ju-Seong,Kim Ju-Seong,0,0,R,R,,,김주성,Infielder,,,,
3096,94821,1972,5,27,Korea,Kim,Min-Guk,Kim Min-Guk,0,0,R,R,,,김민국,Pitcher,,,,
3097,94827,1971,12,27,Korea,Lee,Gun-Ok,Lee Gun-Ok,0,0,R,R,,,이군옥,Outfielder,,,,
3098,94834,1971,3,27,Korea,Yoo,Hyeon-Seung,Yoo Hyeon-Seung,172,72,R,R,,,유현승,Pitcher,,,,
3099,94836,1971,4,8,Korea,Cho,Won-U,Cho Won-U,181,70,R,R,1994,SBW,조원우,,,,94 쌍방울 2차,94쌍방울
3100,94841,1971,4,17,Korea,Ko,Hyeong-Uk,Ko Hyeong-Uk,163,72,L,L,,,고형욱,Pitcher,,,,
3101,94842,1974,8,19,Korea,Oh,Jin-Hui,Oh Jin-Hui,0,0,R,R,,,오진희,Catcher,,,,
3102,94843,1971,5,19,Korea,Jang,Jae-Jung,Jang Jae-Jung,159,68,R,R,1994,SBW,장재중,,,,94 쌍방울 대졸신인,94쌍방울
3103,94845,1971,8,10,Korea,Kim,Seong,Kim Seong,0,0,L,L,,,김성,Outfielder,,,,
3104,94851,1975,1,22,Korea,Yoo,Tae-Jun,Yoo Tae-Jun,0,0,R,R,,,유태준,Infielder,,,,
3105,94858,1974,7,1,Korea,Kang,Seok,Kang Seok,0,0,R,R,,,강석,Infielder,,,,
3106,95101,1953,2,20,Korea,Jung,Hyeon-Bal,Jung Hyeon-Bal,181,69,R,R,,,정현발,,,,,
3107,95103,1976,10,4,Korea,Cho,Hyeon,Cho Hyeon,198,70,R,R,,,조현,Outfielder,,,,
3108,95114,1972,10,18,Korea,Shim,Jae-Hak,Shim Jae-Hak,216,72,L,L,1995,LG,심재학,,,,,95LG
3109,95146,1972,10,29,Korea,Shin,Guk-Hwan,Shin Guk-Hwan,181,70,R,R,,,신국환,Infielder,,,,
3110,95157,1975,8,25,Korea,Kim,Sang-U,Kim Sang-U,0,0,R,R,,,김상우,Outfielder,,,,
3111,95158,1976,11,19,Korea,Kwon,Yong-Gwan,Kwon Yong-Gwan,176,71,R,R,1995,LG,권용관,Infielder,,,95 LG 고졸신인,95LG
3112,95159,1977,1,20,Korea,Bang,Dong-Min,Bang Dong-Min,194,71,L,L,,,방동민,Pitcher,,,,
3113,95160,1973,4,28,Korea,Kang,Jun-Gi,Kang Jun-Gi,0,0,R,R,,,강준기,Catcher,,,,
3114,95169,1976,11,8,Korea,Kim,Jeong-Han,Kim Jeong-Han,0,0,L,R,,,김정한,Outfielder,,,,
3115,95190,1975,4,20,Korea,Lee,Dong-U,Lee Dong-U,181,74,R,R,,,이동우,Infielder,,,,
3116,95199,1974,5,8,Korea,Park,No-Sik,Park No-Sik,165,73,R,R,,,박노식,Pitcher,,,,
3117,95208,1977,1,20,Korea,Jung,Su-Geun,Jung Su-Geun,172,70,L,L,,,정수근,Outfielder,,,,
3118,95218,1976,4,5,Korea,Yeo,Jun-Hong,Yeo Jun-Hong,168,72,L,L,,,여준홍,Pitcher,,,,
3119,95223,1976,6,29,Korea,Kim,Yu-Bong,Kim Yu-Bong,172,72,R,R,,,김유봉,Pitcher,,,,
3120,95233,1972,4,30,Korea,Seo,Seok-Yeong,Seo Seok-Yeong,0,0,R,R,,,서석영,Infielder,,,,
3121,95235,1972,10,13,Korea,Jin,Pil-Jung,Jin Pil-Jung,201,71,R,R,,,진필중,,,,,
3122,95236,1972,3,14,Korea,Song,Jae-Yong,Song Jae-Yong,0,0,R,R,,,송재용,Pitcher,,,,
3123,95247,1976,4,30,Korea,Choi,Yong-Ho,Choi Yong-Ho,212,72,R,R,,,최용호,Pitcher,,,,
3124,95269,1972,4,6,Korea,Lee,Bo-Hyeong,Lee Bo-Hyeong,0,0,R,R,,,이보형,Outfielder,,,,
3125,95273,1960,1,10,Korea,Yang,Seung-Ho,Yang Seung-Ho,194,70,R,R,,,양승호,,,,,
3126,95316,1976,10,31,Korea,Lee,Yong-Ju,Lee Yong-Ju,168,70,R,R,,,이용주,Infielder,,,,
3127,95318,1972,5,21,Korea,Wi,Jae-Yeong,Wi Jae-Yeong,185,72,R,R,,,위재영,Pitcher,,,,
3128,95319,1972,4,1,Korea,Kim,Byeong-Cheol,Kim Byeong-Cheol,0,0,R,R,,,김병철,Outfielder,,,,
3129,95322,1976,7,30,Korea,Park,Sang-Il,Park Sang-Il,0,0,R,R,,,박상일,Catcher,,,,
3130,95324,1972,12,24,Korea,Do,Myeong-Jin,Do Myeong-Jin,0,0,R,R,,,도명진,Catcher,,,,
3131,95327,1976,3,10,Korea,Kim,Eok-Man,Kim Eok-Man,196,72,R,R,,,김억만,Pitcher,,,,
3132,95409,1972,9,7,Korea,Kim,Jae-Geol,Kim Jae-Geol,154,70,R,R,1995,Samsung,김재걸,,,,95 삼성 2차,95삼성
3133,95411,1972,6,22,Korea,Hong,Gwang-Cheon,Hong Gwang-Cheon,0,0,R,R,,,홍광천,Infielder,,,,
3134,95422,1972,4,9,Korea,Kim,Yeong-Jin,Kim Yeong-Jin,168,70,R,R,,,김영진,Catcher,,,,
3135,95426,1972,3,23,Korea,An,Yun-Ho,An Yun-Ho,0,0,R,R,,,안윤호,Pitcher,,,,
3136,95436,1976,8,18,Korea,Lee,Seung-Yeop,Lee Seung-Yeop,194,72,L,L,1995,Samsung,이승엽,,,,95 삼성 고졸신인,95삼성
3137,95449,1972,4,7,Korea,Cha,Sang-Uk,Cha Sang-Uk,0,0,R,R,,,차상욱,Infielder,,,,
3138,95451,1972,4,24,Korea,Kim,Gyeong-Ho,Kim Gyeong-Ho,0,0,R,R,,,김경호,Catcher,,,,
3139,95458,1977,1,13,Korea,Kim,Jin-Sam,Kim Jin-Sam,179,72,R,R,,,김진삼,Infielder,,,,
3140,95459,1972,7,19,Korea,Park,Seok-Jin,Park Seok-Jin,176,70,R,R,1995,Samsung,박석진,,,,95 삼성 대졸신인,95삼성
3141,95468,1976,3,5,Korea,Kim,Seung-Gwan,Kim Seung-Gwan,196,73,R,R,1995,Samsung,김승관,,,,,95삼성
3142,95469,1976,8,17,Korea,Shin,Seong-Pil,Shin Seong-Pil,194,73,R,R,,,신성필,Pitcher,,,,
3143,95473,1976,6,6,Korea,Jang,Hyeong-Seok,Jang Hyeong-Seok,176,72,R,R,,,장형석,Pitcher,,,,
3144,95486,1954,3,2,Korea,Bae,Dae-Ung,Bae Dae-Ung,0,0,R,R,,,배대웅,Infielder,,,,
3145,95488,1961,6,6,Korea,Choi,Gye-Hun,Choi Gye-Hun,176,71,R,R,1984,Sammi,최계훈,,,,,84삼미
3146,95511,1972,7,19,Korea,Park,Bo-Hyeon,Park Bo-Hyeon,181,74,R,R,,,박보현,Pitcher,,,,
3147,95518,1972,9,12,Korea,Park,Hyeon-Seung,Park Hyeon-Seung,185,70,R,R,1995,Lotte,박현승,,,,,95롯데
3148,95544,1976,10,2,Korea,Yang,Jong-Seong,Yang Jong-Seong,0,0,R,R,,,양종성,Catcher,,,,
3149,95549,1970,8,14,Korea,Ma,Hae-Yeong,Ma Hae-Yeong,212,74,R,R,,,마해영,Infielder,,,,
3150,95552,1979,12,3,Korea,Kim,Jeong-Yeol,Kim Jeong-Yeol,183,71,R,R,,,김정열,Pitcher,,,,
3151,95554,1976,6,11,Korea,Jang,Seung-Ik,Jang Seung-Ik,0,0,R,R,,,장승익,Pitcher,,,,
3152,95557,1972,3,9,Korea,Park,Jong-Il,Park Jong-Il,181,69,R,R,,,박종일,Outfielder,,,,
3153,95558,1972,11,14,Korea,Kim,Ok-Il,Kim Ok-Il,0,0,R,R,,,김옥일,Outfielder,,,,
3154,95563,1972,6,23,Korea,Kim,Seong-Cheol,Kim Seong-Cheol,0,0,R,R,,,김성철,Outfielder,,,,
3155,95565,1976,5,10,Korea,Park,Bu-Seong,Park Bu-Seong,0,0,R,R,,,박부성,Pitcher,,,,
3156,95573,1977,1,15,Korea,Na,Gwang-Ho,Na Gwang-Ho,0,0,R,R,,,나광호,Outfielder,,,,
3157,95576,1951,6,10,Korea,Kwon,Du-Jo,Kwon Du-Jo,154,68,R,R,1982,Lotte,권두조,,,,,82롯데
3158,95601,1972,6,15,Korea,Lee,Won-Sik,Lee Won-Sik,196,72,R,R,,,이원식,Pitcher,,,,
3159,95650,1972,5,3,Korea,Choi,Cheol-Min,Choi Cheol-Min,0,0,R,R,,,최철민,Infielder,,,,
3160,95657,1976,6,4,Korea,Lim,Chang-Yong,Lim Chang-Yong,181,72,R,R,1995,Haitai,임창용,Pitcher,,,95 해태 고졸신인,95해태
3161,95665,1975,12,14,Korea,Lee,Yong-Hun,Lee Yong-Hun,176,74,R,R,,,이용훈,Pitcher,,,,
3162,95666,1973,2,13,Korea,An,Sang-Jun,An Sang-Jun,179,72,R,R,1995,Haitai,안상준,,,,95 해태 2차우선,95해태
3163,95670,1972,10,9,Korea,Nam,Sang-Gyu,Nam Sang-Gyu,0,0,R,R,,,남상규,Catcher,,,,
3164,95674,1976,2,28,Korea,Kim,Hyeong-Seong,Kim Hyeong-Seong,0,0,R,R,,,김형성,Infielder,,,,
3165,95678,1973,2,8,Korea,Choo,Pyeong-Ho,Choo Pyeong-Ho,0,0,R,R,,,추평호,Outfielder,,,,
3166,95710,1976,5,1,Korea,Kim,Seung-Gwon,Kim Seung-Gwon,185,71,R,R,,,김승권,Infielder,,,,
3167,95712,1972,6,26,Korea,Kang,In-Gwon,Kang In-Gwon,192,72,R,R,1995,Hanwha,강인권,,,,95 한화 2차우선,95한화
3168,95716,1976,12,5,Korea,Kim,Yeong-Jin,Kim Yeong-Jin,0,0,R,R,,,김영진,Infielder,,,,
3169,95728,1972,10,10,Korea,Shin,Jae-Ung,Shin Jae-Ung,190,73,R,R,,,신재웅,Pitcher,,,,
3170,95748,1972,8,30,Korea,Jung,Ui-Seong,Jung Ui-Seong,0,0,R,R,,,정의성,Pitcher,,,,
3171,95777,1959,11,5,Korea,Kim,Gyeong-Nam,Kim Gyeong-Nam,181,69,R,R,,,김경남,,,,,
3172,95819,1972,12,15,Korea,Kim,Jin-Cheol,Kim Jin-Cheol,0,0,R,R,,,김진철,Pitcher,,,,
3173,95835,1973,2,16,Korea,Shim,Seong-Bo,Shim Seong-Bo,165,71,L,L,,,심성보,Outfielder,,,,
3174,95837,1972,6,7,Korea,Ha,Sang-Do,Ha Sang-Do,0,0,R,R,,,하상도,Outfielder,,,,
3175,95838,1972,7,9,Korea,Park,Seong-Jin,Park Seong-Jin,0,0,R,R,,,박성진,Pitcher,,,,
3176,95853,1957,8,16,Korea,Song,Jin-Ho,Song Jin-Ho,0,0,R,R,,,송진호,Pitcher,,,,
3177,95858,1977,2,25,Korea,Jang,Yong,Jang Yong,0,0,R,R,,,장용,Pitcher,,,,
3178,95901,1956,12,19,Korea,Geum,Gwang-Ok,Geum Gwang-Ok,172,69,R,R,,,금광옥,,,,,
3179,95906,1957,2,15,Korea,Kang,Man-Sik,Kang Man-Sik,0,0,R,R,,,강만식,Pitcher,,,,
3180,95913,1949,9,9,Korea,Kim,U-Yeol,Kim U-Yeol,165,69,R,R,1982,OB,김우열,,,,,82OB
3181,95914,1955,5,19,Korea,Kim,Jun-Hwan,Kim Jun-Hwan,176,70,R,R,,,김준환,,,,,
