playerID,yearID,lgID,teamID,stint,G,CG,SHO,W,L,SV,HLD,WPCT,BFP,IPouts,H,HR,BB,HBP,SO,R,ER,ERA
51713,2023,KBO,Hanwha,1,23,0,0,0,1,1,0,0,85,64,16,0,10,2,20,7,6,2.75
51713,2024,KBO,Hanwha,1,58,0,0,1,0,0,4,1,270,177,66,6,28,4,40,50,46,7.02
51715,2021,KBO,Hanwha,1,15,0,0,2,4,0,0,0.333,260,166,63,4,36,4,36,32,28,4.7
51715,2022,KBO,Hanwha,1,5,0,0,0,2,0,0,0,63,36,14,4,11,1,8,10,8,6
51715,2023,KBO,Hanwha,1,37,0,0,1,3,0,1,0.25,253,171,58,4,29,9,46,33,29,4.63
51715,2024,KBO,Hanwha,1,27,0,0,5,4,0,0,0.556,286,177,83,8,27,6,39,44,43,6.56
51722,2021,KBO,Hanwha,1,31,0,0,5,12,0,0,0.294,746,510,150,16,72,19,179,90,75,3.97
51722,2022,KBO,Hanwha,1,4,0,0,0,1,0,0,0,79,54,19,1,6,1,15,6,5,2.5
51761,2021,KBO,Hanwha,1,20,0,0,1,3,0,0,0.25,177,114,34,3,25,4,26,21,19,4.5
51809,2021,KBO,SSG,1,6,0,0,0,0,0,1,-,38,21,10,0,9,0,4,6,6,7.71
51809,2022,KBO,SSG,1,23,0,0,2,1,0,5,0.667,89,60,17,2,13,4,15,15,14,6.52
51833,2021,KBO,SSG,1,15,0,0,6,4,0,0,0.6,351,246,88,7,30,6,70,54,53,5.86
51834,2021,KBO,SSG,1,4,0,0,1,0,0,0,1,56,45,15,2,2,0,9,6,6,3.77
51863,2021,KBO,SSG,1,25,0,0,8,5,0,0,0.615,604,442,114,12,45,6,157,66,56,3.46
51863,2022,KBO,SSG,1,28,1,0,13,6,0,0,0.684,729,552,141,18,34,6,170,63,55,2.69
51867,2021,KBO,SSG,1,6,0,0,0,1,0,0,0,54,33,8,1,12,0,7,7,6,4.91
51867,2022,KBO,SSG,1,2,0,0,0,0,0,0,-,17,9,5,1,4,0,1,3,3,9
51867,2025,KBO,SSG,1,20,0,0,1,2,0,2,0.333,96,60,19,1,14,4,21,13,12,5.4
51895,2021,KBO,SSG,1,60,0,0,2,5,1,10,0.286,342,243,84,6,19,4,51,40,35,3.92
51895,2022,KBO,SSG,1,40,0,0,2,0,0,6,1,231,165,56,6,11,3,33,26,26,4.25
51895,2024,KBO,SSG,1,18,0,0,0,0,0,0,-,101,66,29,3,10,1,10,16,16,6.75
